config,seed,V_MAE,V_PCC,A_MAE,A_PCC
uniform,1,0.48970869565217395,0.8085891637791829,0.8543205533596838,0.5913963793008368
uniform,2,0.47548735177865614,0.8175080252547062,0.8305043478260868,0.6142337734227458
uniform,42,0.46875731225296446,0.8217463987717484,0.828881818181818,0.6119041535323165
mild,1,0.48787391304347827,0.8065474017389663,0.8507620553359684,0.5927442314651128
mild,2,0.4728106719367589,0.8175923405812664,0.8245758893280632,0.6185444182013334
mild,42,0.4697320158102766,0.8223364314041395,0.8240584980237154,0.6165447636744259
current,1,0.48709209486166005,0.8055718182582896,0.8498086956521739,0.5943033699712508
current,2,0.47088458498023705,0.8179882597541706,0.82010790513834,0.6224087930369574
current,42,0.4682916996047431,0.82414584298913,0.8192826086956522,0.6206699383862155
reflection_swap,1,0.48518616600790515,0.807254972324764,0.8467075098814228,0.5939110903816174
reflection_swap,2,0.4715865612648221,0.8186855954040193,0.8205509881422925,0.6218505692958279
reflection_swap,42,0.4703667984189724,0.8244049935068609,0.8236399209486166,0.6170917029600623
